Education	naics2	occp	pct	earn	FREQ
Some college or Associate degree	Manufacturing	Production	0.334942263	31000	513
Some college or Associate degree	Manufacturing	Sales and related	0.082850737	44000	152
Some college or Associate degree	Other Services (except Public Administration)	Building and grounds cleaning and maintenance	0.068883923	21000	134
Some college or Associate degree	Other Services (except Public Administration)	Community and social service	0.071315893	29000	156
Some college or Associate degree	Other Services (except Public Administration)	Installation, maintenance and repair	0.089769291	42000	171
Some college or Associate degree	Other Services (except Public Administration)	Management	0.051186407	63000	114
Some college or Associate degree	Other Services (except Public Administration)	Office and administrative support	0.144895327	32000	327
Some college or Associate degree	Other Services (except Public Administration)	Personal care and service	0.301975155	20000	535
Some college or Associate degree	Other Services (except Public Administration)	Transportation and material moving	0.063633824	27000	103
Some college or Associate degree	Professional, Scientific, and Technical Services	Arts, design, entertainment, sports, and media	0.094718781	53000	264
Some college or Associate degree	Professional, Scientific, and Technical Services	Business and financial operations	0.084082448	44000	221
Some college or Associate degree	Professional, Scientific, and Technical Services	Computer and mathematical	0.113448996	73000	294
Some college or Associate degree	Professional, Scientific, and Technical Services	Legal	0.083155644	47000	230
Some college or Associate degree	Professional, Scientific, and Technical Services	Management	0.122939348	77000	365
Some college or Associate degree	Professional, Scientific, and Technical Services	Office and administrative support	0.35386706	44000	1027
Some college or Associate degree	Public Administration	Business and financial operations	0.031640327	65000	114
Some college or Associate degree	Public Administration	Healthcare practitioners and technical	0.028115323	53000	104
Some college or Associate degree	Public Administration	Management	0.0346547	68000	136
Some college or Associate degree	Public Administration	Office and administrative support	0.207151665	44000	764
Some college or Associate degree	Public Administration	Protective service	0.549698327	81000	1924
Some college or Associate degree	Real Estate and Rental and Leasing	Building and grounds cleaning and maintenance	0.13979231	40000	196
Some college or Associate degree	Real Estate and Rental and Leasing	Management	0.241603755	56000	335
Some college or Associate degree	Real Estate and Rental and Leasing	Office and administrative support	0.171158114	38000	278
Some college or Associate degree	Real Estate and Rental and Leasing	Personal care and service	0.123477633	42000	178
Some college or Associate degree	Real Estate and Rental and Leasing	Sales and related	0.148844222	41000	227
Some college or Associate degree	Retail Trade	Business and financial operations	0.022263143	39000	126
Some college or Associate degree	Retail Trade	Healthcare practitioners and technical	0.023834955	23000	141
Some college or Associate degree	Retail Trade	Management	0.022855721	63000	149
Some college or Associate degree	Retail Trade	Office and administrative support	0.159247841	17000	849
Some college or Associate degree	Retail Trade	Sales and related	0.631947047	20000	3320
Some college or Associate degree	Retail Trade	Transportation and material moving	0.033542859	24000	160
Some college or Associate degree	Transportation and Warehousing	Construction and extraction	0.024137508	69000	102
Some college or Associate degree	Transportation and Warehousing	Installation, maintenance and repair	0.059056867	71000	241
Some college or Associate degree	Transportation and Warehousing	Management	0.055460684	75000	229
Some college or Associate degree	Transportation and Warehousing	Office and administrative support	0.291493945	46000	1088
Some college or Associate degree	Transportation and Warehousing	Transportation and material moving	0.457958591	48000	1691
Some college or Associate degree	Wholesale Trade	Management	0.09057005	78000	114
Some college or Associate degree	Wholesale Trade	Office and administrative support	0.250774399	35000	289
Some college or Associate degree	Wholesale Trade	Sales and related	0.380033596	51000	474
Some college or Associate degree	Wholesale Trade	Transportation and material moving	0.133435559	38000	134
